Utility Characteristics,,,,IEEE Standard,,,,,,,,,Other Standard,,,,,,,,
Data Year,Utility Number,Utility Name,State,SAIDI With MED,SAIDI Without MED,SAIDI With MED Minus LOS,SAIFI With MED,SAIFI Without MED,SAIFI With MED Minus LOS,Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI With MED,SAIDI Without MED,SAIFI With MED,SAIFI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2015,3597,Citizens Electric Co - (PA),PA, , , , , , , , ,,72.000,18.000,0.890,0.190,"6,909",N,F,12.0,Y
2015,3600,Citizens Electric Corporation - (MO),MO,107.000,0.000,107.000, , , ,"26,994",13.2,Y, , , , , ,,, ,
2015,3634,City of Nixa - (MO),MO,139.591,34.457,139.591,3.200,2.400,3.200,"9,487",7.2,N, , , , , ,,, ,
2015,3644,PUD No 1 of Clallam County,WA, , , , , , , , ,,444.000,195.000,0.751, ,"31,241",N,L,34.0,Y
2015,3647,City of Claremore,OK, , , , , , , , ,,894.130, , , ,"11,800",N,O,13.2,N
2015,3660,PUD No 1 of Clark County - (WA),WA,90.700,26.900,85.400,0.602,0.344,0.572,"191,500",12.5,N, , , , , ,,, ,
2015,3687,Clark Energy Coop Inc - (KY),KY,358.030,198.290,346.830,1.790,1.530,1.610,"25,691",25.0,Y, , , , , ,,, ,
2015,3712,Clay County Electric Coop Corp,AR, , , , , , , , ,,299.900,299.900,2.627,2.627,"12,235",N,L,14.4,Y
2015,3722,Clarke Electric Coop Inc - (IA),IA, , , , , , , , ,,212.800,144.900,2.073,1.460,"5,277",N,F,12.5,N
2015,3739,Clearwater Power Company,ID,"1,304.500","1,304.500","1,138.300",3.330,3.330,2.760,"10,675",25.0,Y, , , , , ,,, ,
2015,3755,Cleveland Electric Illum Co,OH,145.600,138.500,126.700,1.200,1.170,0.910,"725,879",36.0,Y, , , , , ,,, ,
2015,3757,"Clay Electric Cooperative, Inc",FL,196.740,167.090,165.730,4.030,3.290,2.770,"169,443",25.0,N, , , , , ,,, ,
2015,3758,City of Cleveland - (TN),TN,94.904,45.050,94.904,1.200,0.700,1.200,"30,827",13.2,Y, , , , , ,,, ,
2015,3762,City of Cleveland - (OH),OH,12.123, , ,0.099, , ,"72,239",13.8,N, , , , , ,,, ,
2015,3764,Clearwater-Polk Elec Coop Inc,MN, , , , , , , , ,,6.350,2.550,1.840,1.130,"4,669",N,L,12.5,N
2015,3774,City of Clewiston,FL, , , , , , , , ,,87.760, ,0.792, ,"4,000",N,L,7.2,N
2015,3804,Clinton Combined Utility Sys,SC, , , , , , , , ,,21.000,21.000,0.400,0.400,"4,076",N,L,25.0,N
2015,3812,City of Clinton - (TN),TN,118.000,118.000,114.000,2.063,2.063,1.659,"29,982",13.0,Y, , , , , ,,, ,
2015,3828,Cloverland Electric Co-op,MI,878.500,209.500,878.500,2.070,1.660,2.070,"42,809",24.9,Y, , , , , ,,, ,
2015,3841,Coast Electric Power Assn,MS,99.470,41.440,98.400, , , ,"80,275",25.0,N, , , , , ,,, ,
2015,3843,Coastal Electric Member Corp,GA,190.310,123.380,190.310,2.300,1.650,2.300,"17,664",25.0,Y, , , , , ,,, ,
2015,3844,"Coastal Electric Coop, Inc",SC,188.400,188.400,178.700,1.936,1.936,1.699,"11,668",12.0,Y, , , , , ,,, ,
2015,3881,City of Cody,WY, , , , , , , , ,,49.160, ,0.810, ,"7,388",N,L,25.0,N
2015,3892,City of Coffeyville - (KS),KS, , , , , , , , ,,0.001,0.001,0.000,0.000,"6,189",N,L,12.4,N
2015,3915,Coldwater Board of Public Util,MI,32.500, , ,0.700, , ,"6,778",13.8,Y, , , , , ,,, ,
2015,3916,Cobb Electric Membership Corp,GA,29.970,29.970,27.480,0.540,0.540,0.450,"198,889",20.0,Y, , , , , ,,, ,
2015,3940,City of College Station - (TX),TX,32.200,32.200,32.200,0.560,0.560,0.560,"39,554",7.2,N, , , , , ,,, ,
2015,3989,City of Colorado Springs - (CO),CO,37.766,37.766,37.766,0.564,0.564,0.564,"228,454",34.5,Y, , , , , ,,, ,
2015,4008,Columbia Power Coop Assn Inc,OR,160.000,160.000,160.000, , , ,"1,834",24.9,N, , , , , ,,, ,
2015,4040,Calhoun County Elec Coop Assn,IA, , , , , , , , ,,756.000,756.000,1.540,1.540,"1,681",N,F, ,N
2015,4041,"Columbia Rural Elec Assn, Inc",WA, , , , , , , , ,,200.400, , , ,"5,339",N,,24.9,N
2015,4045,City of Columbia - (MO),MO, , , , , , , , ,,160.280, ,0.760, ,"48,620",N,L,13.8,Y
2015,4063,Co-Mo Electric Coop Inc,MO, , , , , , , , ,,129.000,129.000,1.200,1.200,"31,328",N,F,25.0,Y
2015,4065,City of Columbus - (OH),OH,106.600,102.200,106.600,1.530,1.480,1.530,"14,587",14.0,Y, , , , , ,,, ,
2015,4068,City of Columbus - (MS),MS, , , , , , , , ,, , , ,1.166,"13,000",N,L,13.0,N
2015,4110,Commonwealth Edison Co,IL,109.000,72.000,107.000,0.970,0.860,0.940,"3,853,843",34.0,Y, , , , , ,,, ,
2015,4117,Community Electric Coop,VA,196.128,196.128,135.571,1.671,1.671,1.143,"11,064",34.5,N, , , , , ,,, ,
2015,4146,Concho Valley Elec Coop Inc,TX,13.380,7.140,10.760,3.900,3.110,2.580,"14,191",24.9,Y, , , , , ,,, ,
2015,4150,City of Concord - (NC),NC,55.800,55.800,55.800,0.700,0.700,0.700,"30,914",13.2,Y, , , , , ,,, ,
2015,4176,Connecticut Light & Power Co,CT,111.600,78.600,110.700,0.750,0.700,0.740,"1,254,049",34.5,Y, , , , , ,,, ,
2015,4226,Consolidated Edison Co-NY Inc,NY, , , , , , , , ,,21.100,20.700,0.112,0.111,"3,385,176",N,F,33.0,Y
2015,4237,Consolidated Electric Coop,MO,171.006,63.012,162.157,0.890,0.622,0.799,"7,895",12.5,N, , , , , ,,, ,
2015,4254,Consumers Energy Co,MI,440.700,177.000,438.400,1.180,0.981,1.170,"1,797,075",14.4,Y, , , , , ,,, ,
2015,4262,Cooke County Elec Coop Assn,TX, , , , , , , , ,,200.000, ,1.400, ,"15,842",N,,7.2,Y
2015,4265,Continental Divide El Coop Inc,NM, , , , , , , , ,,255.370,124.270, , ,"18,370",N,F,25.0,N
2015,4280,Conway Corporation,AR,60.377,60.377, ,0.800,0.800, ,"29,957",13.8,N, , , , , ,,, ,
2015,4317,"Coos-Curry Electric Coop, Inc",OR,183.390,147.330,181.400,1.290, ,1.290,"17,914",24.9,N, , , , , ,,, ,
2015,4327,Coosa Valley Electric Coop Inc,AL,165.500,135.490,145.720,1.390,1.250,1.200,"16,565",24.9,N, , , , , ,,, ,
2015,4346,Cooperative L&P Assn Lake County,MN,268.998,107.590,268.998,2.119,0.850,2.119,"6,033",14.4,N, , , , , ,,, ,
2015,4362,Corn Belt Energy Corporation,IL,643.300,246.100,541.900,5.300,4.200,5.300,"35,510",69.0,Y, , , , , ,,, ,
2015,4373,Cornhusker Public Power Dist,NE, , , , , , , , ,,61.400,61.400, , ,"9,809",N,O,12.5,N
2015,4401,"Cotton Electric Coop, Inc",OK,"1,091.250",199.710,557.480,3.180,1.920,2.081,"21,542",14.4,N, , , , , ,,, ,
2015,4430,"Covington Electric Coop, Inc",AL,114.600,77.800,110.300,1.200,0.900,1.000,"22,574",25.0,Y, , , , , ,,, ,
2015,4432,Coweta-Fayette El Member Corp,GA,99.572,89.985,84.929,1.340,1.240,1.000,"77,621",25.0,N, , , , , ,,, ,
2015,4442,PUD No 1 of Cowlitz County,WA, , , , , , , , ,,82.000,82.000,0.700,0.700,"49,000",N,F,12.5,N
2015,4471,Craig-Botetourt Electric Coop,VA,672.440,665.680,593.340,4.120,3.980,3.390,"6,590", ,N, , , , , ,,, ,
2015,4471,Craig-Botetourt Electric Coop,WV,482.240,164.210,164.210,2.990,1.930,1.930,482, ,N, , , , , ,,, ,
2015,4508,"Crawfordsville Elec, Lgt & Pwr",IN, , , , , , , , ,,2.950,2.950,0.060,0.060,"9,898",N,L,13.8,N
2015,4509,Craighead Electric Coop Corp,AR, , , , , , , , ,,2.759,2.705,1.928,1.775,"29,603",N,F,34.5,N
