Utility Charateristics,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,SERVICE_TYPE,"Data Type
O = Observed
I = Imputed",State,Ownership,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count
2012,590,City of Anaheim - (CA),A,Bundled,O,CA,Municipal,"91,768.0","604,605","98,185","111,826.0","718,527","16,631","142,261.0","1,114,157",432,.,.,.,"345,855.0","2,437,289","115,248"
2012,599,Anchorage Municipal Light and Power,A,Bundled,O,AK,Municipal,"17,221.2","146,789","24,443","83,738.0","953,876","6,304",.,.,.,.,.,.,"100,959.2","1,100,665","30,747"
2012,604,City of Andalusia,A,Bundled,O,AL,Municipal,"5,297.0","43,135","3,669","7,621.0","61,825",997,"16,643.0","285,330",5,.,.,.,"29,561.0","390,290","4,671"
2012,636,City of Anderson,A,Bundled,O,IN,Municipal,"32,458.0","314,577","32,542","30,056.0","318,799","3,806","13,595.0","212,230",69,.,.,.,"76,109.0","845,606","36,417"
2012,689,Connexus Energy,A,Bundled,O,MN,Cooperative,"144,133.6","1,170,688","115,240","63,458.2","675,700","11,276","11,776.0","135,999",397,0.0,0,0,"219,367.8","1,982,387","126,913"
2012,690,City of Bardstown - (KY),A,Bundled,O,KY,Municipal,"3,418.0","43,671","3,335","3,356.0","49,254","1,055","4,162.0","94,818",14,.,.,.,"10,936.0","187,743","4,404"
2012,691,City of Anoka,A,Bundled,O,MN,Municipal,"8,538.0","77,248","10,492","8,076.0","89,630","1,295","7,690.0","102,589",15,.,.,.,"24,304.0","269,467","11,802"
2012,694,Anza Electric Coop Inc,A,Bundled,O,CA,Cooperative,"6,321.0","35,415","4,158","2,177.0","12,001",314,0.0,0,0,.,.,.,"8,498.0","47,416","4,472"
2012,719,Town of Apex- (NC),A,Bundled,O,NC,Municipal,"16,439.8","152,972","13,614","9,044.1","93,796","1,217",.,.,.,.,.,.,"25,483.9","246,768","14,831"
2012,727,Appalachian Electric Coop,A,Bundled,O,TN,Cooperative,"62,532.0","581,710","38,721","23,188.0","206,258","6,150","7,419.0","96,606",8,0.0,0,0,"93,139.0","884,574","44,879"
2012,733,Appalachian Power Co,A,Bundled,O,VA,Investor Owned,"646,039.0","6,029,825","446,806","341,758.0","3,992,206","74,312","359,013.0","5,501,962","1,911",.,.,.,"1,346,810.0","15,523,993","523,029"
2012,733,Appalachian Power Co,A,Bundled,O,WV,Investor Owned,"513,537.0","5,364,795","368,415","306,850.0","3,621,542","66,322","342,643.0","5,275,550","2,410",.,.,.,"1,163,030.0","14,261,887","437,147"
2012,745,Applied Energy Inc,A,Bundled,O,CA,Unregulated,.,.,.,.,.,.,935.0,"15,963",1,.,.,.,935.0,"15,963",1
2012,750,Arab Electric Coop Inc,A,Bundled,O,AL,Cooperative,"19,670.0","186,289","12,367","11,329.0","104,717","2,806",625.0,"6,627",2,0.0,0,0,"31,624.0","297,633","15,175"
2012,803,Arizona Public Service Co,A,Bundled,O,AZ,Investor Owned,"1,585,396.0","13,256,456","1,005,074","1,295,241.0","12,675,057","123,501","174,857.0","2,222,623","3,721",.,.,.,"3,055,494.0","28,154,136","1,132,296"
2012,814,Entergy Arkansas Inc,A,Bundled,O,AR,Investor Owned,"758,155.7","7,858,971","584,559","487,335.5","6,302,526","90,050","435,999.4","6,925,231","22,577",11.0,114,1,"1,681,501.6","21,086,842","697,187"
2012,814,Entergy Arkansas Inc,A,Bundled,O,TN,Investor Owned,0.2,2,1,2.4,20,3,1.3,6,3,0.0,0,0,3.9,28,7
2012,817,Arkansas Valley Elec Coop Corp,A,Bundled,O,AR,Cooperative,"68,790.0","734,930","49,489","12,842.0","165,273","3,556","13,269.0","244,418",14,0.0,0,0,"94,901.0","1,144,621","53,059"
2012,817,Arkansas Valley Elec Coop Corp,A,Bundled,O,OK,Cooperative,"4,947.0","57,460","3,980","1,787.0","24,460",482,0.0,0,0,0.0,0,0,"6,734.0","81,920","4,462"
2012,828,City of Arlington - (MN),A,Bundled,O,MN,Municipal,718.1,"8,391",971,958.9,"11,254",158,0.0,0,0,0.0,0,0,"1,677.0","19,645","1,129"
2012,887,"Arrowhead Electric Coop, Inc",A,Bundled,O,MN,Cooperative,"5,483.0","37,000","3,641","2,688.0","25,000",416,0.0,.,.,0.0,.,.,"8,171.0","62,000","4,057"
2012,907,City of Ashland - (OR),A,Bundled,O,OR,Municipal,"6,483.0","90,862","10,172","5,992.0","81,286","1,516",.,.,.,.,.,.,"12,475.0","172,148","11,688"
2012,918,City of Aspen- (CO),A,Bundled,O,CO,Municipal,"2,041.1","21,354","1,899","4,223.5","43,896","1,023",.,.,.,.,.,.,"6,264.6","65,250","2,922"
2012,942,Atchison-Holt Electric Coop,A,Bundled,O,IA,Cooperative,"1,226.0","9,022","1,006",534.0,"5,009",85,198.0,"1,039",36,.,.,.,"1,958.0","15,070","1,127"
2012,942,Atchison-Holt Electric Coop,A,Bundled,O,MO,Cooperative,"2,589.0","23,201","2,134","1,126.0","13,119",182,"1,773.0","27,446",81,.,.,.,"5,488.0","63,766","2,397"
2012,944,City of Athens - (AL),A,Bundled,O,AL,Municipal,"55,391.0","579,686","35,689","28,029.0","271,147","6,502","9,644.0","109,222",13,0.0,0,0,"93,064.0","960,055","42,204"
2012,947,Athens Utility Board,A,Bundled,O,TN,Municipal,"15,133.0","152,793","10,898","14,972.0","143,589","2,244","18,468.0","281,188",11,0.0,0,0,"48,573.0","577,570","13,153"
2012,963,Atlantic City Electric Co,A,Bundled,O,NJ,Investor Owned,"604,669.7","3,580,212","405,549","167,813.5","1,160,131","46,146","8,220.4","83,344",600,.,.,.,"780,703.6","4,823,687","452,295"
2012,963,Atlantic City Electric Co,C,Delivery,O,NJ,Investor Owned,"46,230.8","776,588","75,471","151,618.1","3,116,773","18,687","30,255.9","778,101",343,.,.,.,"228,104.8","4,671,462","94,501"
2012,965,Atlantic Municipal Utilities,A,Bundled,O,IA,Municipal,"3,059.0","40,877","3,840","3,638.0","54,447","1,109",518.0,"10,826",1,.,.,.,"7,215.0","106,150","4,950"
2012,970,Ameren Energy Marketing,B,Energy,O,IL,Retail Power Marketer,"35,435.0","873,661","154,224","247,952.0","3,857,398","2,468","163,670.0","4,396,528",154,0.0,0,0,"447,057.0","9,127,587","156,846"
2012,993,Auburn Board of Public Works,A,Bundled,O,NE,Municipal,"2,155.0","24,534","1,979","2,349.0","27,075",794,409.0,"5,126",2,.,.,.,"4,913.0","56,735","2,775"
2012,994,City of Auburn - (IN),A,Bundled,O,IN,Municipal,"4,634.3","66,644","6,187","2,423.7","27,714",906,"24,244.9","333,563",120,0.0,0,0,"31,302.9","427,921","7,213"
2012,998,City of Augusta - (KS),A,Bundled,O,KS,Municipal,"4,371.4","39,896","3,661","2,104.1","20,809",429,656.9,"7,167",14,.,.,.,"7,132.4","67,872","4,104"
2012,1009,City of Austin - (MN),A,Bundled,O,MN,Municipal,"9,821.8","79,223","10,564","14,409.2","133,515","1,821","8,888.0","128,282",1,.,.,.,"33,119.0","341,020","12,386"
2012,1015,Austin Energy,A,Bundled,O,TX,Municipal,"420,073.0","4,241,660","378,873","519,101.0","5,558,537","46,221","158,886.0","2,573,275",94,.,.,.,"1,098,060.0","12,373,472","425,188"
2012,1024,City of Ava - (MO),A,Bundled,O,MO,Municipal,861.0,"11,212","1,227",356.0,"4,713",306,"1,696.0","42,279",45,.,.,.,"2,913.0","58,204","1,578"
2012,1036,Town of Ayden,A,Bundled,O,NC,Municipal,"5,888.0","43,506","4,062","3,125.0","25,560",485,"2,922.0","30,021",1,.,.,.,"11,935.0","99,087","4,548"
2012,1050,City of Azusa,A,Bundled,O,CA,Municipal,"10,110.0","76,356","13,838","15,592.0","77,929","1,692","9,613.0","82,242",37,.,.,.,"35,315.0","236,527","15,567"
