Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,SERVICE_TYPE,"Data Type
O = Observed
I = Imputed",State,Ownership,BA_CODE,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2013,963,Atlantic City Electric Co,A,Bundled,O,NJ,Investor Owned,PJM,"545,220.5","3,331,988","388,294","137,305.0","980,003","42,955","6,813.0","72,148",526,.,.,.,"689,338.5","4,384,139","431,775"
2013,963,Atlantic City Electric Co,C,Delivery,O,NJ,Investor Owned,PJM,"69,789.8","881,402","89,837","185,816.4","3,207,059","21,900","34,602.7","758,047",406,.,.,.,"290,208.9","4,846,508","112,143"
2013,965,Atlantic Municipal Utilities,A,Bundled,O,IA,Municipal,MISO,"3,263.0","41,755","3,812","3,944.0","56,542",808,485.0,"9,087",1,.,.,.,"7,692.0","107,384","4,621"
2013,970,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,MISO,"166,226.0","3,886,214","175,081","296,677.0","4,969,078","3,168","210,511.0","5,086,086",144,0.0,0,0,"673,414.0","13,941,378","178,393"
2013,993,Auburn Board of Public Works,A,Bundled,O,NE,Municipal,OPPD,"2,358.5","26,812","1,951","2,633.5","30,215",820,286.1,"3,308",1,.,.,.,"5,278.1","60,335","2,772"
2013,994,City of Auburn - (IN),A,Bundled,O,IN,Municipal,PJM,"4,521.0","64,587","6,218","2,558.0","27,544",909,"24,552.0","342,611",145,.,.,.,"31,631.0","434,742","7,272"
2013,998,City of Augusta - (KS),A,Bundled,O,KS,Municipal,WR,"4,263.2","38,657","3,841","2,204.1","22,439",417,664.0,"7,237",25,.,.,.,"7,131.3","68,333","4,283"
2013,1009,City of Austin - (MN),A,Bundled,O,MN,Municipal,MISO,"9,947.5","78,939","10,544","13,696.5","133,753","1,834","8,467.5","121,303",1,.,.,.,"32,111.5","333,995","12,379"
2013,1015,Austin Energy,A,Bundled,O,TX,Municipal,ERCO,"470,270.0","4,239,870","384,713","537,451.9","5,360,823","47,322","198,383.0","2,885,003",144,.,.,.,"1,206,104.9","12,485,696","432,179"
2013,1024,City of Ava - (MO),A,Bundled,O,MO,Municipal,AECI,849.0,"11,069","1,220",323.3,"4,254",347,"1,691.0","42,173",43,.,.,.,"2,863.3","57,496","1,610"
2013,1036,Town of Ayden - (NC),A,Bundled,O,NC,Municipal,CPLE,"6,105.5","44,940","3,494","3,271.9","27,009",439,"3,034.5","31,656",1,.,.,.,"12,411.9","103,605","3,934"
2013,1050,City of Azusa,A,Bundled,O,CA,Municipal,CISO,"10,744.2","81,590","14,001","15,208.7","80,734","1,712","9,920.4","85,099",36,.,.,.,"35,873.3","247,423","15,749"
